"Report","Acronym","Description"
"WGIII","IFC","International Finance Corporation"
"WGIII","IFDD","Institut de la Francophonie pour le Développement Durable (Francophonie Institute for Sustainable Development)"
"WGIII","IFI","international financial institution"
"WGIII","IIGCC","Institutional Investors Group on Climate Change"
"WGIII","IIoT","industrial internet of things"
"WGIII","ILB","incandescent light bulb"
"WGIII","ILM","intrusive load monitoring"
"WGIII","IMP-GS","Illustrative Mitigation Pathway – Gradual Strengthening"
"WGIII","IP","Illustrative Pathway"
"WGIII","IPP","independent power producers"
"WGIII","IPPU","Industrial processes and product use"
"WGIII","IPR","intellectual property rights"
"WGIII","IRP","UN International Resource Panel"
"WGIII","ISDS","investor–state dispute settlement"
"WGIII","ITMO","internationally transferred mitigation outcome"
"WGIII","ITUC","International Trade Union Confederation"
"WGIII","JICA","Japanese International Cooperation Agency"
"WGIII","LCCE","levelised cost of conserved energy"
"WGIII","LCCC","levelised cost of conserved carbon"
"WGIII","LCS","low-carbon society"
"WGIII","LEAF","Lowering Emissions by Accelerating Forest Finance"
"WGIII","LED scenario","Low Energy Demand scenario"
"WGIII","LIB","lithium-ion battery"
"WGIII","LiRE","IMAGE-Lifestyle-Renewable (IEA scenario)"
"WGIII","LTO","long-term operation"
"WGIII","LUM","land-use model"
"WGIII","MaaS","Mobility as a Service"
"WGIII","MAPS","Mitigation Action Plans and Scenarios"
"WGIII","mbpd","million barrels per day"
"WGIII","ME","material efficiency"
"WGIII","MES","material efficiency scenario"
"WGIII","MEPC","Marine Environment Protection Committee"
"WGIII","MEPSs","Minimum Energy Performance Standards"
"WGIII","MIGA","Multilateral Investment Guarantee Agency"
"WGIII","Mkm2","million square kilometres"
"WGIII","MLP","multi-level perspective"
"WGIII","ModAct","Moderate Action scenario"
"WGIII","MOE","molten oxide electrolysis"
"WGIII","MOOC","massive open online course"
"WGIII","MS","member state"
"WGIII","MSME","micro, small and medium enterprises"
"WGIII","MTA","methanol-to-aromatics"
"WGIII","MTO","methanol-to-olefins"
"WGIII","NAFTA","North American Free Trade Agreement"
"WGIII","NAZCA","Non-State Actor Zone for Climate Action"
"WGIII","NEDO","New Energy and Industrial Technology Development Organisation, Japan"
"WGIII","NGFS","Network for Greening the Financial System"
"WGIII","NGHGI","national greenhouse gas inventories"
"WGIII","NiCD","nickel–cadmium"
"WGIII","NILM","non-intrusive load monitoring"
"WGIII","Nimby","Not in my back yard"
"WGIII","NiMH","nickel-metal hydride"
"WGIII","NIS","national innovation system"
"WGIII","NRG","natural regrowth"
"WGIII","NR","Non-Residential"
"WGIII","NTEM","national transport-energy models"
"WGIII","NT","Non-technological"
"WGIII","NZE","net zero emissions"
"WGIII","NZE scenario","Net-Zero Emissions by 2050 (IEA scenario)"
"WGIII","NZEB","net zero energy building; nearly zero energy building"
"WGIII","NSTT","North–South technology transfer and cooperation"
"WGIII","NYDF","New York Declaration on Forests"
"WGIII","OAE","ocean alkalinity enhancement"
"WGIII","OF","ocean fertilisation"
"WGIII","OPEC","Organization of the Petroleum Exporting Countries"
"WGIII","OPEX","operating and maintenance expenditures"
"WGIII","P2P","peer-to-peer"
"WGIII","PACE","Property Assessed Clean Energy"
"WGIII","PBEs","production-based emissions"
"WGIII","PCCB","Paris Committee on Capacity-building"
"WGIII","PCF","personal carbon footprint"
"WGIII","PDB","public development bank"
"WGIII","PEMFC","proton-exchange membrane fuel cells"
"WGIII","pkm","passenger-kilometres"
"WGIII","PPCA","Powering Past Coal Alliance"
"WGIII","PPCR","Pilot Program for Climate Resilience"
"WGIII","PRI","Principles for Responsible Investment"
"WGIII","QE","quantitative easing"
"WGIII","RCEP","Regional Comprehensive Economic Partnership"
"WGIII","RD&D","research, development and demonstration"
"WGIII","RDI","Research, Development and Innovation"
"WGIII","RECC","Resource Efficiency and Climate Change"
"WGIII","RECC-LED","Resource Efficiency and Climate Change-Low Energy Demand (IEA scenario)"
"WGIII","REEs","rare earth elements"
"WGIII","ReSOLVE","Regenerate, Share, Optimise, Loop, Virtualise, Exchange framework"
"WGIII","RGGI","Regional Greenhouse Gas Initiative"
"WGIII","RIMAP","Real-time Integrated Model for probabilistic Assessment of emissions Paths"
"WGIII","RIS","regional innovation systems"
"WGIII","RPK","revenue passenger-kilometres"
"WGIII","RSD","relative standard deviation"
"WGIII","RSPO","Roundtable on Sustainable Palm Oil"
"WGIII","RTS","Reference Technology Scenario"
"WGIII","S&L","standards and labelling"
"WGIII","SARPs","Standards and Recommended Practices"
"WGIII","SASB","Sustainability Accounting Standards Board"
"WGIII","SBT","science-based target"
"WGIII","SCCF","Special Climate Change Fund"
"WGIII","SDR","Special Drawing Rights"
"WGIII","SEADRIF","South East Asian Disaster Risk Insurance Facility"
"WGIII","SEC","specific energy consumption"
"WGIII","SECA","sulphur emission control area"
"WGIII","SEEMP","Ship Energy Efficiency Management Plan"
"WGIII","SER","Sufficiency, Efficiency, Renewal"
"WGIII","SETAC","Society of Environmental Toxicology and Chemistry (UNEP-SETAC)"
"WGIII","SIS","sectoral innovation system"
"WGIII","SLoCaT","Sustainable Low Carbon Transport Partnership"
"WGIII","SMEs","small and medium-sized enterprises"
"WGIII","SNTT","South–North technology transfer and cooperation"
"WGIII","SOE","state-owned enterprise"
"WGIII","SOFC","solid oxide fuel cell"
"WGIII","SSC","South-South cooperation"
"WGIII","SSTT","South–South technology transfer and cooperation"
"WGIII","STEM","science, technology, engineering and mathematics"
"WGIII","STEPS","Stated Policies Scenario"
"WGIII","SUV","sport utility vehicle"
"WGIII","TA","territorial accounting"
"WGIII","TABS","thermally activated building systems"
"WGIII","TBT Agreement","WTO Agreement on Technical Barriers to Trade"
"WGIII","TCBA","technology-adjusted consumption-based emission accounting"
"WGIII","TDR","travel demand reduction"
"WGIII","TEC","Technology Executive Committee"
"WGIII","TES","Transforming Energy Scenario"
"WGIII","TIS","technological innovation system"
"WGIII","TFC","total final energy consumption"
"WGIII","TGC","tradeable green certificate"
"WGIII","tkm","tonne-kilometre"
"WGIII","TNA","technology needs assessment"
"WGIII","TPES","total primary energy supply"
"WGIII","TRA","technology readiness assessment"
"WGIII","TrC","triangular cooperation"
"WGIII","TGCs","Tradable Green Certificates"
"WGIII","TRIPS Agreement","Trade-Related Aspects of Intellectual Property Rights Agreement"
"WGIII","TRL","technology readiness level"
"WGIII","TW","terawatt"
"WGIII","UF","utility factor"
"WGIII","UKCCC","United Kingdom Climate Change Committee"
"WGIII","ULCS","ultra-low carbon steel"
"WGIII","UNCRD","United Nations Centre for Regional Development"
"WGIII","UNOSSC","United Nations Office for South-South Cooperation"
"WGIII","US DOE","United States Department of Energy"
"WGIII","US EPA","United States Environmental Protection Agency"
"WGIII","V1G","controlled charging (of an electric vehicle)"
"WGIII","V2G","vehicle-to-grid"
"WGIII","VC","venture capital"
"WGIII","VCS","Verified Carbon Standard of the Verra programme"
"WGIII","vkm","vehicle-kilometre"
"WGIII","VLR","Voluntary Local Review"
"WGIII","VMT","vehicle miles travelled"
"WGIII","VNR","Voluntary National Review"
"WGIII","WEFN","water-energy-food nexus"
"WGIII","WHP","waste heat to power"
"WGIII","WRAP","Waste and Resources Action Programme"
"WGIII","WTP","willingness to pay"
"WGIII","ZEV","zero emission vehicle"
